"filename", "language", "HTML", "PHP", "CSS", "SCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\twitter-clone\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\connection.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\twitter.php", "PHP", 0, 598, 0, 0, 0, 0, 25, 144, 767
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\exploreFeed.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\fav.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\fav_remove.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\feed.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\follow.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\login.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\postTweet.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\profile.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\profileFeed.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\randomUsers.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\register.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\rt.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\rt_remove.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\settings.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\settingsLoad.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\tweet.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\tweetPage.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\unfollow.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\fav.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\feed.md", "Markdown", 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\follow.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\login.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 9, 34
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\profile.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 9, 45
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\register.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 8, 32
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\rt.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\chris\Documents\GitHub\twitter-clone\documentacion-api\docs\unfollow.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\feed.css", "CSS", 0, 0, 364, 0, 0, 0, 3, 78, 445
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\feed.scss", "SCSS", 0, 0, 0, 360, 0, 0, 10, 102, 472
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\index.css", "CSS", 0, 0, 96, 0, 0, 0, 5, 16, 117
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\index.scss", "SCSS", 0, 0, 0, 91, 0, 0, 4, 24, 119
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\login.css", "CSS", 0, 0, 44, 0, 0, 0, 5, 8, 57
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\login.scss", "SCSS", 0, 0, 0, 56, 0, 0, 4, 15, 75
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\profile.css", "CSS", 0, 0, 365, 0, 0, 0, 3, 74, 442
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\profile.scss", "SCSS", 0, 0, 0, 356, 0, 0, 10, 100, 466
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\styles.css", "CSS", 0, 0, 182, 0, 0, 0, 9, 30, 221
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\css\styles.scss", "SCSS", 0, 0, 0, 198, 0, 0, 9, 57, 264
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\explore.html", "HTML", 159, 0, 0, 0, 0, 0, 3, 49, 211
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\feed.html", "HTML", 167, 0, 0, 0, 0, 0, 3, 48, 218
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\followers.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\following.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\index.html", "HTML", 67, 0, 0, 0, 0, 0, 0, 24, 91
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\checkCookie.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 2, 21
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\checkCookielogin.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 2, 21
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\explore.js", "JavaScript", 0, 0, 0, 0, 0, 109, 0, 22, 131
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\followButton.js", "JavaScript", 0, 0, 0, 0, 0, 74, 0, 16, 90
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\login.js", "JavaScript", 0, 0, 0, 0, 0, 58, 1, 14, 73
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\navProfile.js", "JavaScript", 0, 0, 0, 0, 0, 22, 1, 3, 26
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\profile.js", "JavaScript", 0, 0, 0, 0, 0, 178, 2, 38, 218
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\randomUsers.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 4, 25
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\register.js", "JavaScript", 0, 0, 0, 0, 0, 96, 2, 24, 122
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\settings.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\settingsLoad.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\tweet.js", "JavaScript", 0, 0, 0, 0, 0, 102, 0, 20, 122
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\tweetActions.js", "JavaScript", 0, 0, 0, 0, 0, 100, 1, 23, 124
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\js\userData.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 5, 6
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\login.html", "HTML", 65, 0, 0, 0, 0, 0, 0, 25, 90
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\notifications.html", "HTML", 152, 0, 0, 0, 0, 0, 3, 47, 202
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\profile.html", "HTML", 172, 0, 0, 0, 0, 0, 4, 55, 231
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\settings.html", "HTML", 182, 0, 0, 0, 0, 0, 3, 51, 236
"c:\Users\chris\Documents\GitHub\twitter-clone\frontend\tweet.html", "HTML", 175, 0, 0, 0, 0, 0, 3, 51, 229
"c:\Users\chris\Documents\GitHub\twitter-clone\modelo-entidad-relacion\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\chris\Documents\GitHub\twitter-clone\modelo-entidad-relacion\modelo-entidad-relación.html", "HTML", 11, 0, 0, 0, 0, 0, 1, 1, 13
"Total", "-", 1150, 744, 1051, 1061, 166, 831, 115, 1259, 6377
