"filename", "language", "PHP", "HTML", "CSS", "Markdown", "SQL", "SCSS", "JavaScript", "JSON", "XML", "YAML", "Shell Script", "Makefile", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\twitter-clone\DB\twitter.sql", "SQL", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 100, 56, 298
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\comment.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\composer.lock", "JSON", 0, 0, 0, 0, 0, 0, 0, 647, 0, 0, 0, 0, 0, 1, 648
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\connection.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\twitter.php", "PHP", 916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 205, 1160
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\autoload.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\ClassLoader.php", "PHP", 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 53, 482
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\InstalledVersions.php", "PHP", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 46, 338
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\autoload_files.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\autoload_psr4.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\autoload_real.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 76
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\autoload_static.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 78
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\installed.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 664, 0, 0, 0, 0, 0, 1, 665
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\installed.php", "PHP", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 126
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\CHANGELOG.md", "Markdown", 0, 0, 0, 1216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 247, 1463
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\README.md", "Markdown", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 80
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\UPGRADING.md", "Markdown", 0, 0, 0, 1008, 0, 0, 0, 0, 0, 0, 0, 0, 1, 245, 1254
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 74
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\BodySummarizer.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 29
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\BodySummarizerInterface.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 14
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Client.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 53, 475
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\ClientInterface.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 9, 85
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\ClientTrait.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 17, 242
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Cookie\CookieJar.php", "PHP", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 35, 314
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Cookie\CookieJarInterface.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 9, 80
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Cookie\FileCookieJar.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 12, 102
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Cookie\SessionCookieJar.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 78
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Cookie\SetCookie.php", "PHP", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 47, 411
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\BadResponseException.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 40
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\ClientException.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\ConnectException.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 57
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\GuzzleException.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\InvalidArgumentException.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\RequestException.php", "PHP", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 22, 167
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\ServerException.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\TooManyRedirectsException.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Exception\TransferException.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\HandlerStack.php", "PHP", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 34, 272
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\CurlFactory.php", "PHP", 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 64, 593
"c:\Users\chris\Documents\GitHub\twitter-clone\backend\Model\vendor\guzzlehttp\guzzle\src\Handler\CurlFactoryInterface.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 26
